id,subject,topic,question,optionA,optionB,optionC,optionD,answer,tip
19,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
20,English,Synonyms,Choose the correct answer related to Synonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Use elimination to remove incorrect options quickly.
21,Physics,Electromagnetic Induction,"According to the principle studied in Electromagnetic Induction, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Focus on conceptual understanding rather than memorization.
22,English,Sentence Correction,Identify the correct option in Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,D,Recall the key formula or rule from the chapter.
23,Mathematics,Differentiation,Choose the correct mathematical statement from Differentiation.,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
24,Physics,Current Electricity,"In Current Electricity, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
25,Physics,SHM,"In SHM, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
26,Mathematics,Probability,Which of the following is correct in Probability?,Statement 1,Statement 2,Statement 3,Statement 4,C,Focus on conceptual understanding rather than memorization.
27,English,Vocabulary,Choose the correct answer related to Vocabulary.,Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
28,English,Analogies,Which option best fits the rule of Analogies?,Option A concept,Option B concept,Option C concept,Option D concept,C,Review the core concept from the FSc textbook.
29,English,Antonyms,Identify the correct option in Antonyms.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
30,Mathematics,Statistics,Choose the correct mathematical statement from Statistics.,Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
31,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
32,English,Vocabulary,Which option best fits the rule of Vocabulary?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
33,English,Grammar,Choose the correct answer related to Grammar.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
34,Physics,Electromagnetic Induction,"According to the principle studied in Electromagnetic Induction, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
35,English,Antonyms,Choose the correct answer related to Antonyms.,Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
36,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
37,English,Vocabulary,Choose the correct answer related to Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
38,English,Sentence Correction,Which option best fits the rule of Sentence Correction?,Statement 1,Statement 2,Statement 3,Statement 4,D,Focus on conceptual understanding rather than memorization.
39,Physics,Modern Physics,"According to the principle studied in Modern Physics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Focus on conceptual understanding rather than memorization.
40,Physics,Magnetism,"According to the principle studied in Magnetism, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
41,Physics,Dynamics,"According to the principle studied in Dynamics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
42,Physics,Electromagnetic Induction,"In Electromagnetic Induction, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
43,English,Sentence Correction,Which option best fits the rule of Sentence Correction?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
44,Physics,Electrostatics,"According to the principle studied in Electrostatics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Review the core concept from the FSc textbook.
45,Mathematics,Statistics,Choose the correct mathematical statement from Statistics.,Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
46,Mathematics,Differentiation,Solve the problem related to Differentiation.,Statement 1,Statement 2,Statement 3,Statement 4,D,Focus on conceptual understanding rather than memorization.
47,Mathematics,Analytical Geometry,Solve the problem related to Analytical Geometry.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
48,Mathematics,Limits,Choose the correct mathematical statement from Limits.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
49,English,Reading Comprehension,Which option best fits the rule of Reading Comprehension?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
50,Physics,Rotational Motion,A conceptual question from Rotational Motion: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
51,Physics,Dynamics,"In Dynamics, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
52,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
53,English,Antonyms,Which option best fits the rule of Antonyms?,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
54,Mathematics,Integration,Choose the correct mathematical statement from Integration.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
55,English,Synonyms,Choose the correct answer related to Synonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
56,Mathematics,Probability,Solve the problem related to Probability.,Statement 1,Statement 2,Statement 3,Statement 4,D,Review the core concept from the FSc textbook.
57,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
58,Mathematics,Sequences and Series,Which of the following is correct in Sequences and Series?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
59,Mathematics,Probability,Choose the correct mathematical statement from Probability.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
60,Physics,Waves,"In Waves, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
61,Physics,Magnetism,"In Magnetism, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
62,Mathematics,Vectors,Solve the problem related to Vectors.,Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
63,English,Sentence Correction,Choose the correct answer related to Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,B,Use elimination to remove incorrect options quickly.
64,English,Vocabulary,Identify the correct option in Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
65,Mathematics,Vectors,Solve the problem related to Vectors.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
66,English,Antonyms,Identify the correct option in Antonyms.,Statement 1,Statement 2,Statement 3,Statement 4,D,Review the core concept from the FSc textbook.
67,Mathematics,Probability,Solve the problem related to Probability.,Statement 1,Statement 2,Statement 3,Statement 4,A,Use elimination to remove incorrect options quickly.
68,English,Synonyms,Which option best fits the rule of Synonyms?,Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
69,Physics,Electrostatics,"According to the principle studied in Electrostatics, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
70,English,Vocabulary,Identify the correct option in Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
71,Mathematics,Algebra,Solve the problem related to Algebra.,Statement 1,Statement 2,Statement 3,Statement 4,C,Focus on conceptual understanding rather than memorization.
72,Physics,Dynamics,"According to the principle studied in Dynamics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
73,Mathematics,Sequences and Series,Choose the correct mathematical statement from Sequences and Series.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
74,Physics,Modern Physics,A conceptual question from Modern Physics: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
75,Physics,Electromagnetic Induction,"According to the principle studied in Electromagnetic Induction, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
76,Physics,Electromagnetic Induction,A conceptual question from Electromagnetic Induction: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
77,English,Grammar,Identify the correct option in Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
78,Physics,Thermodynamics,"According to the principle studied in Thermodynamics, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
79,Physics,Dynamics,"According to the principle studied in Dynamics, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
80,Mathematics,Vectors,Choose the correct mathematical statement from Vectors.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
81,Mathematics,Functions,Which of the following is correct in Functions?,Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
82,Physics,Circular Motion,"According to the principle studied in Circular Motion, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
83,Physics,Optics,"According to the principle studied in Optics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
84,Physics,Modern Physics,"According to the principle studied in Modern Physics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,D,Recall the key formula or rule from the chapter.
85,Physics,Electromagnetic Induction,"In Electromagnetic Induction, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
86,English,Sentence Correction,Choose the correct answer related to Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
87,Physics,Work Energy Power,"According to the principle studied in Work Energy Power, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Focus on conceptual understanding rather than memorization.
88,English,Vocabulary,Which option best fits the rule of Vocabulary?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Focus on conceptual understanding rather than memorization.
89,Physics,Current Electricity,"In Current Electricity, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
90,Mathematics,Statistics,Solve the problem related to Statistics.,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
91,English,Synonyms,Choose the correct answer related to Synonyms.,Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
92,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
93,Physics,Current Electricity,"According to the principle studied in Current Electricity, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
94,Physics,Modern Physics,A conceptual question from Modern Physics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
95,Mathematics,Trigonometry,Solve the problem related to Trigonometry.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
96,Mathematics,Vectors,Choose the correct mathematical statement from Vectors.,Option A concept,Option B concept,Option C concept,Option D concept,D,Use elimination to remove incorrect options quickly.
97,Physics,Rotational Motion,A conceptual question from Rotational Motion: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
98,English,Analogies,Identify the correct option in Analogies.,Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
99,Physics,Circular Motion,"In Circular Motion, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
100,Physics,Electrostatics,"According to the principle studied in Electrostatics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Use elimination to remove incorrect options quickly.
101,Physics,Waves,"In Waves, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
102,English,Synonyms,Identify the correct option in Synonyms.,Statement 1,Statement 2,Statement 3,Statement 4,C,Review the core concept from the FSc textbook.
103,Mathematics,Algebra,Choose the correct mathematical statement from Algebra.,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
104,English,Sentence Correction,Choose the correct answer related to Sentence Correction.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
105,Physics,Dynamics,A conceptual question from Dynamics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,B,Focus on conceptual understanding rather than memorization.
106,English,Synonyms,Identify the correct option in Synonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
107,English,Vocabulary,Which option best fits the rule of Vocabulary?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
108,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,D,Focus on conceptual understanding rather than memorization.
109,English,Synonyms,Choose the correct answer related to Synonyms.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
110,Physics,Kinematics,"According to the principle studied in Kinematics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
111,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
112,Mathematics,Vectors,Choose the correct mathematical statement from Vectors.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
113,English,Vocabulary,Choose the correct answer related to Vocabulary.,Statement 1,Statement 2,Statement 3,Statement 4,D,Focus on conceptual understanding rather than memorization.
114,Mathematics,Probability,Choose the correct mathematical statement from Probability.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
115,Mathematics,Quadratic Equations,Choose the correct mathematical statement from Quadratic Equations.,Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
116,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
117,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Recall the key formula or rule from the chapter.
118,Mathematics,Quadratic Equations,Choose the correct mathematical statement from Quadratic Equations.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
119,Mathematics,Probability,Which of the following is correct in Probability?,Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
120,Mathematics,Algebra,Choose the correct mathematical statement from Algebra.,Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
121,Mathematics,Vectors,Which of the following is correct in Vectors?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
122,Mathematics,Limits,Which of the following is correct in Limits?,Option A concept,Option B concept,Option C concept,Option D concept,C,Review the core concept from the FSc textbook.
123,English,Analogies,Choose the correct answer related to Analogies.,Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
124,English,Sentence Correction,Which option best fits the rule of Sentence Correction?,Statement 1,Statement 2,Statement 3,Statement 4,C,Review the core concept from the FSc textbook.
125,Mathematics,Algebra,Which of the following is correct in Algebra?,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
126,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
127,English,Vocabulary,Choose the correct answer related to Vocabulary.,Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
128,Physics,Work Energy Power,"According to the principle studied in Work Energy Power, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
129,English,Sentence Correction,Choose the correct answer related to Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,C,Review the core concept from the FSc textbook.
130,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
131,English,Grammar,Which option best fits the rule of Grammar?,Statement 1,Statement 2,Statement 3,Statement 4,C,Review the core concept from the FSc textbook.
132,Physics,Work Energy Power,"In Work Energy Power, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
133,Physics,Thermodynamics,"According to the principle studied in Thermodynamics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
134,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,C,Review the core concept from the FSc textbook.
135,Physics,Electrostatics,"According to the principle studied in Electrostatics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
136,English,Analogies,Choose the correct answer related to Analogies.,Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
137,Physics,Magnetism,"According to the principle studied in Magnetism, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
138,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Use elimination to remove incorrect options quickly.
139,English,Synonyms,Choose the correct answer related to Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
140,English,Synonyms,Identify the correct option in Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
141,Mathematics,Vectors,Choose the correct mathematical statement from Vectors.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
142,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
143,Mathematics,Limits,Solve the problem related to Limits.,Statement 1,Statement 2,Statement 3,Statement 4,D,Review the core concept from the FSc textbook.
144,Mathematics,Integration,Choose the correct mathematical statement from Integration.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
145,Mathematics,Sequences and Series,Choose the correct mathematical statement from Sequences and Series.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
146,English,Antonyms,Which option best fits the rule of Antonyms?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
147,Mathematics,Sequences and Series,Which of the following is correct in Sequences and Series?,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
148,English,Synonyms,Choose the correct answer related to Synonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
149,Physics,Thermodynamics,"In Thermodynamics, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
150,Mathematics,Probability,Solve the problem related to Probability.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
151,English,Analogies,Choose the correct answer related to Analogies.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
152,Physics,Current Electricity,A conceptual question from Current Electricity: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
153,Mathematics,Matrices,Which of the following is correct in Matrices?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Review the core concept from the FSc textbook.
154,Mathematics,Algebra,Which of the following is correct in Algebra?,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
155,Mathematics,Analytical Geometry,Solve the problem related to Analytical Geometry.,Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
156,Physics,Work Energy Power,"According to the principle studied in Work Energy Power, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
157,English,Antonyms,Identify the correct option in Antonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Use elimination to remove incorrect options quickly.
158,Mathematics,Algebra,Choose the correct mathematical statement from Algebra.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
159,Physics,SHM,"According to the principle studied in SHM, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
160,Mathematics,Matrices,Solve the problem related to Matrices.,Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
161,English,Antonyms,Which option best fits the rule of Antonyms?,Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
162,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
163,English,Grammar,Choose the correct answer related to Grammar.,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
164,Mathematics,Functions,Solve the problem related to Functions.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
165,Physics,Circular Motion,"In Circular Motion, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
166,Physics,Thermodynamics,"In Thermodynamics, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
167,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
168,Physics,Rotational Motion,"According to the principle studied in Rotational Motion, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
169,Mathematics,Limits,Choose the correct mathematical statement from Limits.,Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
170,Physics,Circular Motion,A conceptual question from Circular Motion: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
171,Physics,Thermodynamics,"In Thermodynamics, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
172,Physics,Electromagnetic Induction,A conceptual question from Electromagnetic Induction: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Focus on conceptual understanding rather than memorization.
173,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
174,English,Sentence Correction,Identify the correct option in Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
175,Physics,Kinematics,A conceptual question from Kinematics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
176,Physics,Circular Motion,A conceptual question from Circular Motion: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
177,English,Synonyms,Which option best fits the rule of Synonyms?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Focus on conceptual understanding rather than memorization.
178,English,Vocabulary,Identify the correct option in Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
179,Mathematics,Statistics,Choose the correct mathematical statement from Statistics.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
180,Mathematics,Functions,Choose the correct mathematical statement from Functions.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
181,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
182,English,Vocabulary,Which option best fits the rule of Vocabulary?,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
183,Mathematics,Probability,Solve the problem related to Probability.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
184,English,Synonyms,Which option best fits the rule of Synonyms?,Option A concept,Option B concept,Option C concept,Option D concept,D,Recall the key formula or rule from the chapter.
